dates,cases
8/9/20,359.2857142857143
8/10/20,382.2857142857143
8/11/20,378.0
8/12/20,373.8571428571428
8/13/20,367.0
8/14/20,312.85714285714283
8/15/20,390.1428571428572
8/16/20,393.2857142857143
8/17/20,357.85714285714283
8/18/20,399.7142857142857
8/19/20,398.7142857142857
8/20/20,411.2857142857143
8/21/20,488.0
8/22/20,412.0
8/23/20,430.4285714285714
8/24/20,463.1428571428572
8/25/20,442.7142857142857
8/26/20,460.4285714285714
8/27/20,462.57142857142856
8/28/20,504.2857142857143
8/29/20,528.0
8/30/20,539.8571428571429
8/31/20,565.1428571428571
9/1/20,576.0
9/2/20,583.5714285714286
9/3/20,605.4285714285714
9/4/20,517.4285714285714
9/5/20,651.8571428571429
9/6/20,643.1428571428571
9/7/20,690.2857142857143
9/8/20,715.5714285714286
9/9/20,752.5714285714286
9/10/20,773.2857142857143
9/11/20,903.5714285714286
9/12/20,825.2857142857143
9/13/20,896.4285714285714
9/14/20,915.4285714285714
9/15/20,982.0
9/16/20,1028.7142857142858
9/17/20,1079.857142857143
9/18/20,1130.0
9/19/20,1170.428571428571
9/20/20,1230.571428571429
9/21/20,1275.571428571429
9/22/20,1348.857142857143
9/23/20,1444.142857142857
9/24/20,1519.0
9/25/20,1593.7142857142858
9/26/20,1696.428571428571
9/27/20,1781.571428571429
9/28/20,1846.4285714285716
9/29/20,1899.7142857142856
9/30/20,1918.0
10/1/20,1947.0
10/2/20,1977.857142857143
10/3/20,2010.2857142857144
10/4/20,2022.7142857142856
10/5/20,2096.714285714286
10/6/20,2137.8571428571427
10/7/20,2136.8571428571427
10/8/20,2170.5714285714284
10/9/20,2042.857142857143
10/10/20,2230.1428571428573
10/11/20,2291.714285714286
10/12/20,2304.714285714286
10/13/20,2302.5714285714284
10/14/20,2306.714285714286
10/15/20,2311.8571428571427
10/16/20,2542.714285714286
10/17/20,2400.8571428571427
10/18/20,2418.0
10/19/20,2425.8571428571427
10/20/20,2520.8571428571427
10/21/20,2553.8571428571427
10/22/20,2553.428571428572
10/23/20,2709.0
10/24/20,2747.8571428571427
10/25/20,2778.8571428571427
10/26/20,2837.1428571428573
10/27/20,2883.1428571428573
10/28/20,2927.1428571428573
10/29/20,3011.0
10/30/20,2878.714285714286
10/31/20,3160.428571428572
11/1/20,3158.0
11/2/20,3312.8571428571427
11/3/20,3510.285714285714
11/4/20,3782.857142857143
11/5/20,3987.857142857143
11/6/20,4214.571428571428
11/7/20,4203.142857142857
11/8/20,4383.285714285715
11/9/20,4590.571428571428
11/10/20,4598.428571428572
11/11/20,4606.285714285715
11/12/20,4628.142857142857
11/13/20,4760.571428571428
11/14/20,4729.428571428572
11/15/20,4814.285714285715
11/16/20,4746.285714285715
11/17/20,4776.142857142857
11/18/20,4853.857142857143
11/19/20,4929.428571428572
11/20/20,5065.714285714285
11/21/20,5207.714285714285
11/22/20,5340.714285714285
11/23/20,5461.714285714285
11/24/20,5575.428571428572
11/25/20,5683.285714285715
11/26/20,5800.285714285715
11/27/20,5929.142857142857
11/28/20,5983.857142857143
11/29/20,6087.142857142857
11/30/20,6182.428571428572
12/1/20,6318.714285714285
12/2/20,6404.285714285715
12/3/20,6472.571428571428
12/4/20,6492.714285714285
12/5/20,6558.571428571428
12/6/20,6558.0
12/7/20,6563.0
12/8/20,6590.857142857143
12/9/20,6589.714285714285
12/10/20,6598.428571428572
12/11/20,6702.714285714285
12/12/20,6715.571428571428
12/13/20,6780.428571428572
12/14/20,6897.714285714285
12/15/20,6922.857142857143
12/16/20,6922.571428571428
12/17/20,6933.571428571428
12/18/20,6802.571428571428
12/19/20,6827.285714285715
12/20/20,6808.857142857143
12/21/20,6661.428571428572
12/22/20,6480.0
12/23/20,6366.285714285715
12/24/20,6291.285714285715
12/25/20,6097.285714285715
12/26/20,6508.857142857143
12/27/20,6655.285714285715
12/28/20,6747.0
12/29/20,6805.428571428572
12/30/20,6867.857142857143
12/31/20,7450.857142857143
1/1/21,7943.285714285715
1/2/21,7675.142857142857
1/3/21,7846.142857142857
1/4/21,8165.571428571428
1/5/21,8530.857142857143
1/6/21,8684.57142857143
1/7/21,8224.42857142857
1/8/21,7896.285714285715
1/9/21,7792.714285714285
1/10/21,7532.714285714285
1/11/21,7216.714285714285
1/12/21,6939.428571428572
1/13/21,6783.857142857143
1/14/21,6566.714285714285
1/15/21,6370.285714285715
