dates,cases
7/25/21,576.8571428571429
7/26/21,653.5714285714286
7/27/21,697.8571428571429
7/28/21,711.8571428571429
7/29/21,724.1428571428571
7/30/21,637.2857142857143
7/31/21,842.4285714285714
8/1/21,878.1428571428571
8/2/21,972.2857142857144
8/3/21,1075.142857142857
8/4/21,1110.428571428571
8/5/21,1160.2857142857142
8/6/21,1520.428571428571
8/7/21,1432.857142857143
8/8/21,1573.7142857142858
8/9/21,1655.428571428571
8/10/21,1771.571428571429
8/11/21,1822.0
8/12/21,1850.571428571429
8/13/21,2002.0
8/14/21,2081.5714285714284
8/15/21,2155.428571428572
8/16/21,2261.1428571428573
8/17/21,2345.714285714286
8/18/21,2401.714285714286
8/19/21,2439.1428571428573
8/20/21,2566.428571428572
8/21/21,2640.285714285714
8/22/21,2765.285714285714
8/23/21,2858.428571428572
8/24/21,2963.8571428571427
8/25/21,2994.1428571428573
8/26/21,3028.8571428571427
8/27/21,3254.8571428571427
8/28/21,3355.0
8/29/21,3430.5714285714284
8/30/21,3502.8571428571427
8/31/21,3568.285714285714
9/1/21,3573.5714285714284
9/2/21,3626.0
9/3/21,2928.0
9/4/21,3768.0
9/5/21,3759.0
9/6/21,3783.285714285714
9/7/21,3843.285714285714
9/8/21,3759.714285714286
9/9/21,3901.428571428572
9/10/21,4928.0
9/11/21,4246.857142857143
9/12/21,4321.142857142857
9/13/21,4379.285714285715
9/14/21,4437.0
9/15/21,4561.285714285715
9/16/21,4421.857142857143
9/17/21,4404.142857142857
9/18/21,4342.285714285715
9/19/21,4296.571428571428
9/20/21,4287.285714285715
9/21/21,4212.571428571428
9/22/21,4106.142857142857
9/23/21,4005.428571428572
9/24/21,4331.857142857143
9/25/21,4297.0
9/26/21,4337.142857142857
9/27/21,4219.428571428572
9/28/21,4314.428571428572
9/29/21,4402.857142857143
9/30/21,4453.142857142857
10/1/21,4033.428571428572
10/2/21,3932.142857142857
10/3/21,3850.285714285714
10/4/21,3907.428571428572
10/5/21,3753.428571428572
10/6/21,3736.714285714286
10/7/21,3751.714285714286
10/8/21,2818.1428571428573
10/9/21,3406.714285714286
10/10/21,3245.285714285714
10/11/21,3132.0
10/12/21,3036.0
10/13/21,3013.5714285714284
10/14/21,2974.0
10/15/21,3545.0
10/16/21,2868.5714285714284
10/17/21,2879.0
10/18/21,2809.714285714286
10/19/21,2685.8571428571427
10/20/21,2711.5714285714284
10/21/21,2740.714285714286
10/22/21,2446.714285714286
10/23/21,2379.1428571428573
10/24/21,2360.428571428572
10/25/21,2330.1428571428573
10/26/21,2324.285714285714
10/27/21,2325.714285714286
10/28/21,2335.285714285714
10/29/21,2290.428571428572
10/30/21,2308.0
10/31/21,2270.8571428571427
11/1/21,2274.0
11/2/21,2279.285714285714
11/3/21,2228.428571428572
11/4/21,2181.285714285714
11/5/21,2398.0
11/6/21,2476.8571428571427
11/7/21,2524.1428571428573
11/8/21,2372.428571428572
11/9/21,2552.0
11/10/21,2561.0
11/11/21,2570.714285714286
11/12/21,2500.1428571428573
11/13/21,2443.285714285714
11/14/21,2426.8571428571427
11/15/21,2601.1428571428573
11/16/21,2447.8571428571427
11/17/21,2500.8571428571427
11/18/21,2525.0
11/19/21,2544.8571428571427
11/20/21,2583.5714285714284
11/21/21,2609.8571428571427
11/22/21,2832.5714285714284
11/23/21,2871.1428571428573
11/24/21,2919.1428571428573
11/25/21,2956.8571428571427
11/26/21,2901.0
11/27/21,2935.285714285714
11/28/21,3023.8571428571427
11/29/21,2878.8571428571427
11/30/21,2966.1428571428573
12/1/21,3026.285714285714
12/2/21,3108.5714285714284
12/3/21,3239.0
12/4/21,3330.0
12/5/21,3404.285714285714
12/6/21,3566.285714285714
12/7/21,3487.5714285714284
12/8/21,3933.285714285714
12/9/21,4107.714285714285
12/10/21,4310.0
12/11/21,4593.571428571428
12/12/21,5057.0
12/13/21,5543.714285714285
12/14/21,6534.142857142857
12/15/21,6900.0
12/16/21,7593.571428571428
12/17/21,8928.857142857143
12/18/21,10200.42857142857
12/19/21,11874.57142857143
12/20/21,14452.0
12/21/21,16618.571428571428
12/22/21,18150.285714285717
12/23/21,19548.571428571428
12/24/21,20539.714285714286
12/25/21,22531.714285714286
12/26/21,27697.42857142857
12/27/21,30124.42857142857
12/28/21,32660.42857142857
12/29/21,34658.42857142857
12/30/21,36346.142857142855
12/31/21,38336.57142857143
1/1/22,41362.57142857143
1/2/22,39199.57142857143
1/3/22,39046.0
1/4/22,39411.0
1/5/22,38842.42857142857
1/6/22,38311.57142857143
1/7/22,41474.42857142857
1/8/22,39129.28571428572
1/9/22,38408.42857142857
1/10/22,36938.142857142855
1/11/22,36226.57142857143
1/12/22,34671.57142857143
1/13/22,33100.857142857145
1/14/22,30664.571428571428
1/15/22,28952.14285714286
1/16/22,27323.42857142857
1/17/22,26091.85714285714
1/18/22,23332.285714285717
1/19/22,22708.85714285714
1/20/22,21279.0
1/21/22,18151.14285714286
1/22/22,19308.714285714286
1/23/22,17049.0
1/24/22,17825.285714285714
1/25/22,17160.428571428572
1/26/22,16396.571428571428
1/27/22,16685.428571428572
1/28/22,16938.14285714286
1/29/22,14505.285714285714
1/30/22,15605.0
1/31/22,13429.57142857143
2/1/22,12938.0
2/2/22,12679.0
2/3/22,12409.42857142857
2/4/22,11662.142857142857
2/5/22,11391.142857142857
2/6/22,10673.0
2/7/22,10274.285714285714
2/8/22,9460.714285714286
2/9/22,9920.857142857143
2/10/22,9665.42857142857
2/11/22,9113.857142857143
2/12/22,8601.857142857143
2/13/22,8234.857142857143
2/14/22,7779.714285714285
2/15/22,7686.0
2/16/22,6786.0
2/17/22,6619.285714285715
2/18/22,5400.428571428572
2/19/22,5619.714285714285
2/20/22,5913.428571428572
2/21/22,5708.571428571428
2/22/22,5977.857142857143
2/23/22,5730.428571428572
2/24/22,5892.714285714285
2/25/22,6501.571428571428
2/26/22,6090.0
2/27/22,5533.0
2/28/22,5903.571428571428
3/1/22,6028.0
3/2/22,6225.857142857143
3/3/22,6087.142857142857
3/4/22,6163.714285714285
3/5/22,6027.0
3/6/22,6145.285714285715
3/7/22,5752.714285714285
3/8/22,5546.285714285715
3/9/22,5350.142857142857
3/10/22,5175.857142857143
3/11/22,4614.0
3/12/22,5310.857142857143
3/13/22,5103.571428571428
3/14/22,4902.428571428572
3/15/22,4228.428571428572
3/16/22,4397.428571428572
3/17/22,4520.285714285715
3/18/22,5039.0
3/19/22,5101.142857142857
3/20/22,5320.285714285715
3/21/22,5728.0
3/22/22,6528.571428571428
3/23/22,6723.857142857143
3/24/22,6924.0
3/25/22,6637.857142857143
3/26/22,6794.285714285715
3/27/22,7387.428571428572
3/28/22,7635.714285714285
3/29/22,8139.428571428572
3/30/22,8516.57142857143
3/31/22,8363.285714285714
4/1/22,7564.714285714285
4/2/22,7328.0
4/3/22,7124.571428571428
4/4/22,6728.571428571428
4/5/22,4947.142857142857
4/6/22,6169.0
4/7/22,5800.285714285715
4/8/22,5739.142857142857
4/9/22,4467.142857142857
4/10/22,12199.42857142857
4/11/22,14046.0
4/12/22,14046.0
4/13/22,14206.0
4/14/22,14482.857142857143
4/15/22,16174.57142857143
4/16/22,17302.14285714286
4/17/22,10124.285714285714
4/18/22,8920.0
4/19/22,11390.0
4/20/22,9684.857142857143
4/21/22,10073.285714285714
4/22/22,8917.42857142857
4/23/22,8874.142857142857
4/24/22,8824.42857142857
4/25/22,8536.142857142857
4/26/22,7813.142857142857
4/27/22,7628.142857142857
4/28/22,7337.0
4/29/22,7163.142857142857
4/30/22,6872.571428571428
5/1/22,6545.857142857143
5/2/22,6351.857142857143
5/3/22,5886.285714285715
5/4/22,5743.714285714285
5/5/22,5675.857142857143
5/6/22,5605.142857142857
5/7/22,5438.285714285715
5/8/22,5068.285714285715
5/9/22,4832.0
5/10/22,4660.714285714285
5/11/22,4423.571428571428
5/12/22,4207.857142857143
5/13/22,4036.857142857143
5/14/22,4314.0
5/15/22,4004.428571428572
5/16/22,3853.714285714286
5/17/22,3576.8571428571427
5/18/22,3660.428571428572
5/19/22,3726.285714285714
5/20/22,3635.142857142857
5/21/22,3024.714285714286
5/22/22,2811.5714285714284
5/23/22,2719.714285714286
5/24/22,2639.285714285714
5/25/22,2611.714285714286
5/26/22,2595.285714285714
5/27/22,2677.8571428571427
5/28/22,2673.714285714286
5/29/22,2668.428571428572
5/30/22,2568.428571428572
5/31/22,2315.5714285714284
6/1/22,2382.714285714286
6/2/22,2367.285714285714
6/3/22,2361.0
6/4/22,2491.0
6/5/22,2381.0
6/6/22,2270.5714285714284
6/7/22,2451.1428571428573
6/8/22,2773.714285714286
6/9/22,2852.1428571428573
6/10/22,2850.714285714286
6/11/22,2776.5714285714284
6/12/22,2573.428571428572
6/13/22,2639.1428571428573
6/14/22,2209.5714285714284
6/15/22,2147.0
6/16/22,1944.0
6/17/22,2003.0
6/18/22,2004.857142857143
6/19/22,2098.1428571428573
6/20/22,2383.0
6/21/22,2457.0
6/22/22,2456.8571428571427
6/23/22,2554.285714285714
6/24/22,2497.1428571428573
6/25/22,2640.714285714286
6/26/22,2590.1428571428573
6/27/22,2789.428571428572
6/28/22,2668.5714285714284
6/29/22,2749.0
6/30/22,2783.8571428571427
7/1/22,2706.5714285714284
7/2/22,3072.8571428571427
7/3/22,2846.5714285714284
7/4/22,3218.5714285714284
7/5/22,3523.8571428571427
7/6/22,3155.0
7/7/22,3175.714285714286
7/8/22,3275.8571428571427
7/9/22,2895.5714285714284
