,Alberta,British Columbia,Manitoba,New Brunswick,Newfoundland and Labrador,Northwest Territories,Nova Scotia,Nunavut,Ontario,Prince Edward Island,Quebec,Saskatchewan,Yukon,Total
2020-10-18,304.7142857142857,169.21428571428572,111.71428571428571,4.857142857142857,0.5,0.2857142857142857,0.5714285714285714,0.0,801.8571428571429,0.35714285714285715,993.0714285714286,42.92857142857143,0.35714285714285715,2430.4285714285716
2020-10-19,304.7142857142857,169.21428571428572,119.35714285714286,4.0,0.5714285714285714,0.2857142857142857,0.5714285714285714,0.0,813.1428571428571,0.21428571428571427,974.8571428571429,45.5,0.35714285714285715,2432.785714285714
2020-10-20,409.85714285714283,227.57142857142858,121.0,3.7857142857142856,0.5714285714285714,0.2857142857142857,0.6428571428571429,0.0,827.0,0.21428571428571427,988.6428571428571,45.92857142857143,0.5,2626.0
2020-10-21,371.35714285714283,203.85714285714286,125.21428571428571,3.5714285714285716,0.5714285714285714,0.2857142857142857,0.7142857142857143,0.0,830.4285714285714,0.21428571428571427,990.1428571428571,47.642857142857146,0.5,2574.5
2020-10-22,383.2857142857143,213.07142857142858,126.85714285714286,3.2142857142857144,0.5714285714285714,0.2857142857142857,0.7142857142857143,0.0,836.6428571428571,0.21428571428571427,982.5714285714286,50.642857142857146,0.5,2598.5714285714284
2020-10-23,399.92857142857144,219.64285714285714,128.28571428571428,3.5,0.5,0.35714285714285715,0.7142857142857143,0.0,847.2857142857143,0.07142857142857142,976.6428571428571,54.142857142857146,0.5714285714285714,2631.6428571428573
2020-10-24,420.64285714285717,228.0,157.21428571428572,3.2142857142857144,0.2857142857142857,0.35714285714285715,0.7857142857142857,0.0,870.2857142857143,0.07142857142857142,963.7142857142857,56.857142857142854,0.5714285714285714,2702.0
2020-10-25,420.64285714285717,228.0,182.14285714285714,3.2857142857142856,0.2857142857142857,0.35714285714285715,1.0,0.0,885.7142857142857,0.07142857142857142,958.5714285714286,59.857142857142854,0.5714285714285714,2740.5
2020-10-26,420.64285714285717,228.0,195.14285714285714,2.4285714285714284,0.2857142857142857,0.35714285714285715,1.0,0.0,908.1428571428571,0.07142857142857142,962.1428571428571,63.42857142857143,0.5714285714285714,2782.214285714286
2020-10-27,356.5,272.42857142857144,206.64285714285714,2.2142857142857144,0.2857142857142857,0.35714285714285715,1.1428571428571428,0.0,924.0714285714286,0.07142857142857142,965.7142857142857,64.0,0.42857142857142855,2793.8571428571427
2020-10-28,495.42857142857144,281.85714285714283,206.14285714285714,2.2142857142857144,0.2857142857142857,0.35714285714285715,1.2142857142857142,0.0,931.9285714285714,0.0,967.5714285714286,66.71428571428571,0.42857142857142855,2954.1428571428573
2020-10-29,466.42857142857144,291.2857142857143,223.21428571428572,2.0,0.35714285714285715,0.14285714285714285,1.5,0.0,937.2857142857143,0.0,980.6428571428571,65.14285714285714,0.42857142857142855,2968.4285714285716
