,Alberta,British Columbia,Manitoba,New Brunswick,Newfoundland and Labrador,Northwest Territories,Nova Scotia,Nunavut,Ontario,Prince Edward Island,Quebec,Saskatchewan,Yukon,total
2021-05-28,438.9285714285714,279.5,358.5,10.357142857142858,8.857142857142858,0.1428571428571428,39.5,0.8571428571428571,1081.2857142857142,0.3571428571428571,366.4285714285714,140.64285714285714,0.0,2725.3571428571427
2021-05-29,404.07142857142856,262.57142857142856,339.7857142857143,10.0,8.285714285714286,0.0714285714285714,34.57142857142857,0.8571428571428571,997.4285714285714,0.3571428571428571,343.5,134.0,0.0,2535.5
2021-05-30,380.6428571428572,262.57142857142856,325.2857142857143,10.5,8.357142857142858,0.0714285714285714,31.285714285714285,0.7857142857142857,926.0,0.3571428571428571,323.2857142857143,128.21428571428572,0.2142857142857142,2397.5714285714284
2021-05-31,356.92857142857144,262.57142857142856,308.2142857142857,9.714285714285714,7.071428571428571,0.0714285714285714,26.928571428571427,0.7857142857142857,872.7857142857143,0.3571428571428571,309.2857142857143,125.28571428571428,0.2142857142857142,2280.214285714286
2021-06-01,333.7142857142857,296.92857142857144,295.1428571428572,8.714285714285714,6.857142857142857,0.0714285714285714,24.642857142857142,0.7142857142857143,831.5714285714286,0.3571428571428571,293.57142857142856,122.71428571428572,0.2142857142857142,2215.214285714286
2021-06-02,316.0,218.5,293.35714285714283,8.142857142857142,6.285714285714286,0.0714285714285714,21.928571428571427,0.6428571428571429,797.4285714285714,0.4285714285714285,279.2857142857143,121.21428571428572,0.2857142857142857,2063.5714285714284
2021-06-03,310.5,211.2142857142857,289.07142857142856,8.357142857142858,6.214285714285714,0.0714285714285714,20.214285714285715,0.1428571428571428,754.5,0.4285714285714285,257.42857142857144,113.57142857142856,0.5714285714285714,1972.2857142857144
2021-06-04,286.57142857142856,195.14285714285717,285.6428571428572,7.928571428571429,6.142857142857143,0.0714285714285714,18.857142857142858,0.2142857142857142,705.0714285714286,0.4285714285714285,243.3571428571429,108.57142857142856,0.8571428571428571,1858.857142857143
2021-06-05,262.1428571428572,185.3571428571429,266.2857142857143,7.357142857142857,5.357142857142857,0.0714285714285714,16.357142857142858,0.4285714285714285,667.7142857142857,0.4285714285714285,226.42857142857144,106.0,1.0,1744.928571428571
2021-06-06,245.92857142857144,185.3571428571429,261.7142857142857,7.142857142857143,5.142857142857143,0.0714285714285714,14.714285714285714,0.6428571428571429,623.0,0.4285714285714285,214.28571428571428,100.78571428571428,1.0,1660.2142857142858
2021-06-07,229.78571428571428,185.3571428571429,254.78571428571428,7.0,4.714285714285714,0.0714285714285714,13.714285714285714,0.6428571428571429,599.2857142857143,0.4285714285714285,203.28571428571428,93.28571428571428,1.4285714285714286,1593.7857142857142
2021-06-08,219.2142857142857,154.57142857142858,242.2142857142857,6.214285714285714,4.857142857142857,0.0,13.0,0.6428571428571429,575.8571428571429,0.4285714285714285,193.3571428571429,89.14285714285714,1.6428571428571428,1501.142857142857
2021-06-09,213.3571428571429,149.14285714285714,234.28571428571428,6.214285714285714,4.571428571428571,0.0,12.285714285714286,0.6428571428571429,544.6428571428571,0.1428571428571428,185.57142857142856,86.28571428571429,2.571428571428572,1439.7142857142858
2021-06-10,195.0,143.35714285714286,225.64285714285717,5.571428571428571,3.4285714285714284,0.0,11.857142857142858,0.6428571428571429,509.4285714285714,0.1428571428571428,175.14285714285714,82.78571428571429,2.571428571428572,1355.571428571429
2021-06-11,184.57142857142856,137.71428571428572,212.8571428571429,4.714285714285714,3.071428571428572,0.0,11.071428571428571,0.6428571428571429,473.57142857142856,0.1428571428571428,167.14285714285714,80.21428571428571,4.357142857142857,1280.071428571429
2021-06-12,176.0,132.35714285714286,202.64285714285717,4.142857142857143,2.9285714285714284,0.0,10.785714285714286,0.5714285714285714,446.07142857142856,0.1428571428571428,159.71428571428572,81.5,4.357142857142857,1221.2142857142858
2021-06-13,164.14285714285714,132.35714285714286,193.3571428571429,3.857142857142857,2.571428571428572,0.0,9.857142857142858,0.5714285714285714,423.9285714285714,0.1428571428571428,150.85714285714286,78.28571428571429,7.142857142857143,1167.071428571429
2021-06-14,154.78571428571428,132.35714285714286,184.28571428571428,3.7857142857142856,2.2142857142857144,0.0,9.142857142857142,0.5714285714285714,408.07142857142856,0.1428571428571428,146.64285714285714,77.28571428571429,7.142857142857143,1126.428571428571
2021-06-15,150.0,114.35714285714286,177.57142857142858,3.7142857142857135,2.071428571428572,0.0,7.928571428571429,0.5714285714285714,391.2142857142857,0.1428571428571428,141.64285714285714,74.42857142857143,7.142857142857143,1070.7857142857142
2021-06-16,144.14285714285714,106.57142857142856,165.28571428571428,3.7142857142857135,1.9285714285714288,0.0,7.071428571428571,0.5714285714285714,373.5,0.0,136.57142857142858,70.42857142857143,9.428571428571429,1019.2142857142856
2021-06-17,128.35714285714286,102.0,156.14285714285714,2.857142857142857,1.7142857142857142,0.0,6.142857142857143,0.5714285714285714,351.5,0.0,131.21428571428572,67.57142857142857,9.428571428571429,957.5
2021-06-18,120.85714285714286,96.42857142857144,145.85714285714286,2.7857142857142856,1.3571428571428572,0.0,5.5,0.5,335.2857142857143,0.0,121.57142857142856,64.78571428571429,10.428571428571429,905.3571428571428
2021-06-19,108.71428571428572,88.71428571428571,136.07142857142858,2.7857142857142856,1.1428571428571428,0.0,6.285714285714286,0.2142857142857142,320.5,0.0,117.35714285714286,62.5,10.285714285714286,854.5714285714286
2021-06-20,95.92857142857144,88.71428571428571,122.57142857142856,2.357142857142857,0.7142857142857143,0.0,6.357142857142857,0.0,307.35714285714283,0.0,113.5,59.35714285714285,11.857142857142858,808.7142857142857
