,Alberta,British Columbia,Manitoba,New Brunswick,Newfoundland and Labrador,Northwest Territories,Nova Scotia,Nunavut,Ontario,Prince Edward Island,Quebec,Saskatchewan,Yukon,total
2020-02-24,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,1.5714285714285714,0.0,0.2142857142857142,0.0,0.0,2.071428571428572
2020-02-25,0.0,0.2142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,1.8571428571428568,0.0,0.4285714285714285,0.0,0.0,2.5
2020-02-26,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,2.071428571428572,0.0,0.5714285714285714,0.0,0.0,2.9285714285714284
2020-02-27,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.2857142857142856,0.0,0.7142857142857143,0.0,0.0,3.5
2020-02-28,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,2.9285714285714284,0.0,0.7857142857142857,0.0,0.0,4.285714285714286
2020-02-29,0.0714285714285714,1.0714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,3.4285714285714284,0.0,0.9285714285714286,0.0,0.0,5.5
2020-03-01,0.1428571428571428,1.0714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,3.857142857142857,0.0,0.9285714285714286,0.0,0.0,6.0
2020-03-02,0.2857142857142857,1.5,0.0,0.0,0.0,0.0,0.0,0.0,4.714285714285714,0.0,1.0,0.0,0.0,7.5
2020-03-03,0.5,1.8571428571428568,0.0,0.0,0.0,0.0,0.0,0.0,5.714285714285714,0.0,1.0714285714285714,0.0,0.0,9.142857142857142
2020-03-04,0.5,1.7857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.1428571428571428,0.0,0.0,10.428571428571429
2020-03-05,1.3571428571428572,2.2857142857142856,0.0,0.0714285714285714,0.0,0.0,0.0,0.0,9.285714285714286,0.0,1.8571428571428568,0.0,0.0,14.857142857142858
2020-03-06,1.3571428571428572,2.7857142857142856,0.0,0.0714285714285714,0.0,0.0,0.0,0.0,12.571428571428571,0.0,2.2857142857142856,0.0,0.0,19.071428571428573
2020-03-07,2.071428571428572,4.071428571428571,0.2857142857142857,0.0714285714285714,0.0,0.0,0.0,0.0,16.285714285714285,0.0,2.5,0.1428571428571428,0.0,25.428571428571427
2020-03-08,2.071428571428572,4.0,0.2857142857142857,0.0714285714285714,0.0,0.0,0.0,0.0,19.5,0.0,3.7857142857142856,0.1428571428571428,0.0,29.857142857142858
2020-03-09,2.7857142857142856,4.642857142857143,0.2857142857142857,0.1428571428571428,0.0714285714285714,0.0,0.0,0.0,23.571428571428573,0.0714285714285714,4.642857142857143,0.1428571428571428,0.0,36.35714285714285
2020-03-10,4.0,6.785714285714286,0.5,0.4285714285714285,0.0714285714285714,0.0,0.3571428571428571,0.0,28.285714285714285,0.0714285714285714,5.642857142857143,0.5,0.0,46.642857142857146
2020-03-11,5.285714285714286,6.714285714285714,0.5714285714285714,0.5714285714285714,0.2142857142857142,0.0,0.5,0.0,33.785714285714285,0.0714285714285714,8.571428571428571,0.5,0.0,56.785714285714285
2020-03-12,6.928571428571429,12.428571428571429,1.0714285714285714,0.7857142857142857,0.2142857142857142,0.0,0.8571428571428571,0.0,39.21428571428572,0.0714285714285714,11.357142857142858,0.5714285714285714,0.0,73.5
2020-03-13,8.5,15.571428571428571,1.2142857142857142,0.7857142857142857,0.2142857142857142,0.0,1.0,0.0,45.57142857142857,0.1428571428571428,16.5,1.1428571428571428,0.0,90.64285714285714
2020-03-14,10.357142857142858,17.857142857142858,1.2142857142857142,0.7857142857142857,0.2857142857142857,0.0,1.0714285714285714,0.0,55.0,0.1428571428571428,25.571428571428573,1.4285714285714286,0.0,113.71428571428572
2020-03-15,13.785714285714286,28.785714285714285,1.2857142857142858,1.2142857142857142,0.4285714285714285,0.0,1.5,0.0,61.21428571428572,0.1428571428571428,38.85714285714285,1.8571428571428568,0.0,149.07142857142858
2020-03-16,18.214285714285715,28.357142857142858,1.4285714285714286,1.2142857142857142,0.6428571428571429,0.0714285714285714,2.0,0.0,68.28571428571429,0.2142857142857142,55.785714285714285,3.7142857142857135,0.0,179.92857142857142
2020-03-17,21.0,31.428571428571427,1.4285714285714286,1.2142857142857142,1.7142857142857142,0.0714285714285714,2.9285714285714284,0.0,79.28571428571429,0.2142857142857142,80.35714285714286,4.714285714285714,0.0,224.3571428571429
2020-03-18,25.142857142857142,41.785714285714285,1.5,1.2857142857142858,2.5,0.0714285714285714,3.642857142857143,0.0,92.14285714285714,0.2142857142857142,99.35714285714286,5.142857142857143,0.0,272.7857142857143
2020-03-19,24.285714285714285,41.285714285714285,2.5,1.2142857142857142,2.5,0.0714285714285714,4.857142857142857,0.0,101.28571428571428,0.3571428571428571,124.78571428571428,6.142857142857143,0.0,309.2857142857143
2020-03-20,33.42857142857143,48.5,2.571428571428572,2.2857142857142856,5.857142857142857,0.0714285714285714,5.214285714285714,0.0,116.35714285714286,0.3571428571428571,150.5,6.785714285714286,0.2142857142857142,372.1428571428572
2020-03-21,36.71428571428572,47.21428571428572,2.5,3.142857142857143,7.285714285714286,0.0714285714285714,6.428571428571429,0.0,133.5,0.6428571428571429,182.42857142857144,7.285714285714286,0.2142857142857142,427.4285714285714
2020-03-22,36.71428571428572,58.57142857142857,4.285714285714286,3.571428571428572,8.571428571428571,0.0714285714285714,7.857142857142857,0.0,148.07142857142858,0.7857142857142857,210.8571428571429,9.428571428571429,0.2857142857142857,489.07142857142856
2020-03-23,41.642857142857146,57.92857142857143,4.857142857142857,4.571428571428571,9.571428571428571,0.0714285714285714,8.714285714285714,0.0,160.78571428571428,0.7142857142857143,250.5,9.428571428571429,0.2857142857142857,549.0714285714286
2020-03-24,43.285714285714285,61.92857142857143,6.357142857142857,4.428571428571429,10.5,0.0714285714285714,8.714285714285714,0.0,186.92857142857144,1.2142857142857142,290.57142857142856,12.0,0.2857142857142857,626.2857142857143
2020-03-25,44.07142857142857,65.0,6.785714285714286,4.428571428571429,10.642857142857142,0.0714285714285714,10.0,0.0,208.8571428571429,1.4285714285714286,339.5,12.642857142857142,0.3571428571428571,703.7857142857143
2020-03-26,47.0,59.07142857142857,8.0,5.0,12.285714285714286,0.1428571428571428,11.5,0.0,235.8571428571429,1.4285714285714286,386.3571428571428,13.214285714285714,0.3571428571428571,780.2142857142857
2020-03-27,60.785714285714285,63.57142857142857,10.714285714285714,5.714285714285714,12.857142857142858,0.1428571428571428,12.785714285714286,0.0,259.35714285714283,1.4285714285714286,443.6428571428572,13.571428571428571,0.4285714285714285,885.0
2020-03-28,58.85714285714285,64.5,11.785714285714286,5.714285714285714,12.785714285714286,0.2857142857142857,13.714285714285714,0.0,282.5,1.4285714285714286,489.4285714285714,14.285714285714286,0.4285714285714285,955.7142857142856
2020-03-29,62.92857142857143,55.642857142857146,11.714285714285714,5.285714285714286,13.5,0.2857142857142857,15.357142857142858,0.0,300.2857142857143,1.4285714285714286,533.7142857142857,14.642857142857142,0.4285714285714285,1015.2142857142856
2020-03-30,65.92857142857143,55.642857142857146,13.071428571428571,5.785714285714286,14.857142857142858,0.2142857142857142,16.714285714285715,0.0,317.6428571428572,1.3571428571428572,562.0,14.071428571428571,0.4285714285714285,1067.7142857142858
2020-03-31,67.85714285714286,56.71428571428572,13.071428571428571,6.142857142857143,14.428571428571429,0.2857142857142857,18.0,0.0,337.2857142857143,1.3571428571428572,599.8571428571429,13.357142857142858,0.4285714285714285,1128.7857142857142
2020-04-01,72.5,46.35714285714285,14.0,6.214285714285714,13.785714285714286,0.2857142857142857,18.5,0.0,354.07142857142856,1.3571428571428572,637.0,13.428571428571429,0.5,1178.0
2020-04-02,72.5,48.142857142857146,13.0,6.214285714285714,14.071428571428571,0.2857142857142857,19.571428571428573,0.0,376.5,1.4285714285714286,659.8571428571429,13.214285714285714,0.5,1225.2857142857142
2020-04-03,66.92857142857143,43.642857142857146,13.214285714285714,5.357142857142857,11.0,0.2857142857142857,21.428571428571427,0.0,392.8571428571428,1.4285714285714286,687.1428571428571,13.071428571428571,0.2857142857142857,1256.642857142857
2020-04-04,64.92857142857143,46.07142857142857,13.642857142857142,4.785714285714286,9.785714285714286,0.2857142857142857,22.642857142857142,0.0,399.4285714285714,1.1428571428571428,700.2857142857143,12.928571428571429,0.3571428571428571,1276.2857142857142
2020-04-05,73.21428571428571,40.07142857142857,12.785714285714286,4.357142857142857,8.642857142857142,0.2857142857142857,22.714285714285715,0.0,415.6428571428572,1.0,718.0714285714286,11.071428571428571,0.2857142857142857,1308.142857142857
2020-04-06,67.57142857142857,40.07142857142857,12.214285714285714,3.4285714285714284,7.642857142857143,0.2857142857142857,23.071428571428573,0.0,436.0,1.0,733.9285714285714,11.714285714285714,0.2857142857142857,1337.2142857142858
2020-04-07,76.5,37.142857142857146,10.785714285714286,3.4285714285714284,6.857142857142857,0.2857142857142857,24.785714285714285,0.0,446.57142857142856,0.5,761.5,8.928571428571429,0.2857142857142857,1377.571428571429
2020-04-08,84.28571428571429,34.07142857142857,10.285714285714286,3.2857142857142856,6.571428571428571,0.2857142857142857,26.428571428571427,0.0,457.8571428571428,0.2857142857142857,778.2142857142857,8.357142857142858,0.2142857142857142,1410.142857142857
2020-04-09,79.71428571428571,36.0,8.571428571428571,2.571428571428572,5.142857142857143,0.2142857142857142,26.857142857142858,0.0,466.7857142857143,0.3571428571428571,806.8571428571429,7.928571428571429,0.2142857142857142,1441.2142857142858
2020-04-10,73.35714285714286,31.428571428571427,6.0,1.8571428571428568,4.928571428571429,0.2142857142857142,27.571428571428573,0.0,478.5,0.2857142857142857,813.2142857142857,7.071428571428571,0.1428571428571428,1444.571428571429
